location,Ppop,ρ,CFR ,ModelIFR (0.15 FNR),ModelIFR (0.3 FNR),eSeroIFR,SeroIFR,"Mπ (using: ModelIFR for 0.15 FNR, d)","Mπ (using: median IFR for 0.15 FNR, d)","Mπ (using: ModelIFR for 0.15 FNR, D)","Mπ (using: median IFR for 0.15 FNR, D)","Mπ (using: ModelIFR for 0.3 FNR, d)","Mπ (using: median IFR for 0.3 FNR, d)","Mπ (using: ModelIFR for 0.3 FNR, D)","Mπ (using: median IFR for 0.3 FNR, D)"
Netherlands,478716,0.198,12.5%,1.9%,1.5%,0.5%,0.9%,0.7%,1.0%,1.3%,1.8%,0.9%,1.2%,1.6%,2.2%
Switzerland: Geneva,26871,0.187,4.6%,0.8%,0.6%,0.8%,0.9%,5.8%,3.2%,6.6%,3.7%,7.1%,3.9%,8.1%,4.5%
USA: Los Angeles,466814,0.115,4.0%,1.2%,1.0%,0.1%,0.2%,0.5%,0.4%,0.8%,0.8%,0.6%,0.5%,1.0%,0.9%
Slovenia,18711,0.031,6.2%,4.0%,3.3%,0.5%,0.6%,0.1%,0.3%,0.1%,0.4%,0.1%,0.4%,0.2%,0.5%
USA: Indiana,87516,0.180,5.2%,0.9%,0.7%,1.4%,1.8%,2.1%,1.4%,2.6%,1.7%,2.5%,1.7%,3.1%,2.1%
USA: DeKalb and Fulton,45575,0.182,3.0%,0.5%,0.4%,0.4%,0.7%,2.1%,0.8%,3.6%,1.4%,2.6%,1.0%,4.4%,1.7%
Spain,2430324,0.220,11.1%,1.4%,1.1%,1.1%,1.2%,4.4%,4.4%,4.5%,4.5%,5.3%,5.3%,5.5%,5.5%
Jersey,3737,0.076,3.2%,1.4%,1.1%,0.7%,0.7%,1.9%,1.9%,2.0%,2.0%,2.3%,2.3%,2.4%,2.5%
Austria: Vienna,18670,0.057,6.3%,3.3%,2.7%,1.0%,1.0%,0.3%,0.7%,0.3%,0.8%,0.4%,0.9%,0.4%,0.9%
,,,,,,,,,,,,,,,
median,-,-,5.2%,1.4%,1.1%,0.7%,0.9%,-,-,-,-,-,-,-,-
mean,-,-,6.2%,1.7%,1.4%,0.7%,0.9%,-,-,-,-,-,-,-,-
